-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::as_strided         0.10%      33.931ms         0.10%      33.931ms       0.448us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         75749  
                                          aten::flatten         0.01%       2.206ms         0.01%       2.431ms       0.390us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          6240  
                                             aten::view         0.07%      24.356ms         0.07%      24.356ms       0.491us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         49633  
                                           aten::detach         0.00%     312.478us         0.00%     312.478us       0.818us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           382  
                                     aten::resolve_conj         0.00%      71.370us         0.00%      71.370us       0.150us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           477  
                                      aten::resolve_neg         0.00%      36.121us         0.00%      36.121us       0.076us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           477  
                                          aten::reshape         0.06%      20.456ms         0.09%      29.978ms       1.604us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         18688  
                                               aten::lt         0.00%     435.380us         0.00%     435.380us       4.535us       0.000us         0.00%       0.000us       0.000us          96 B          96 B           0 B           0 B            96  
                                        aten::embedding         0.00%     132.152us         0.01%       2.001ms      20.843us       0.000us         0.00%     177.925us       1.853us           0 B           0 B      32.74 MB           0 B            96  
                                          aten::resize_         0.00%     285.826us         0.00%     285.826us       2.977us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      32.74 MB      32.74 MB            96  
                                           aten::expand         0.03%      11.312ms         0.04%      14.471ms       1.570us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          9217  
                                           aten::linear         0.05%      18.705ms         0.88%     301.876ms      32.418us       0.000us         0.00%     227.140ms      24.392us           0 B           0 B       2.57 GB           0 B          9312  
                                                aten::t         0.05%      18.094ms         0.11%      37.373ms       4.013us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          9312  
                                        aten::transpose         0.05%      17.397ms         0.08%      28.115ms       1.827us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B         15392  
                                           aten::matmul         0.04%      14.698ms         0.71%     245.797ms      26.396us       0.000us         0.00%     227.140ms      24.392us           0 B           0 B       2.57 GB           0 B          9312  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 34.385s
Self CUDA time total: 34.004s

